coordinate_x,coordinate_y,coordinate_z,y_probe
-8.54,-97.61,-20.0,440.76
0.0,-97.98,-20.0,440.73
8.54,-97.61,-20.0,440.74
17.01,-96.49,-20.0,440.7
25.36,-94.64,-20.0,440.66
33.51,-92.07,-20.0,440.68
41.41,-88.8,-20.0,440.46
48.99,-84.85,-20.0,440.39
56.2,-80.26,-20.0,440.26
62.98,-75.06,-20.0,439.97
69.28,-69.28,-20.0,439.78
75.06,-62.98,-20.0,439.62
80.26,-56.2,-20.0,439.54
84.85,-48.99,-20.0,439.44
88.8,-41.41,-20.0,439.18
92.07,-33.51,-20.0,439.1
94.64,-25.36,-20.0,439.01
96.49,-17.01,-20.0,438.83
97.61,-8.54,-20.0,438.83
99.5,0.0,-10.0,438.84
99.12,8.67,-10.0,438.87
97.99,17.28,-10.0,438.98
96.11,25.75,-10.0,438.98
93.5,34.03,-10.0,439.03
90.18,42.05,-10.0,439.18
86.17,49.75,-10.0,439.41
81.51,57.07,-10.0,439.51
76.22,63.96,-10.0,439.71
70.36,70.36,-10.0,439.87
63.96,76.22,-10.0,440.12
57.07,81.51,-10.0,440.36
49.75,86.17,-10.0,440.47
42.05,90.18,-10.0,440.58
34.03,93.5,-10.0,440.78
25.75,96.11,-10.0,440.89
17.28,97.99,-10.0,440.9
8.67,99.12,-10.0,440.88
0.0,99.5,-10.0,440.87
-8.67,99.12,-10.0,440.87
-17.28,97.99,-10.0,440.86
-25.75,96.11,-10.0,440.76
-34.03,93.5,-10.0,440.74
-42.05,90.18,-10.0,440.62
-49.75,86.17,-10.0,440.46
-57.07,81.51,-10.0,440.28
-63.96,76.22,-10.0,440.15
-70.36,70.36,-10.0,439.94
-76.22,63.96,-10.0,439.8
-81.51,57.07,-10.0,439.6
-86.17,49.75,-10.0,439.4
-90.18,42.05,-10.0,439.2
-93.5,34.03,-10.0,439.11
-96.11,25.75,-10.0,438.98
-97.99,17.28,-10.0,438.88
-99.12,8.67,-10.0,438.85
-99.5,0.0,-10.0,438.83
-99.12,-8.67,-10.0,438.83
-97.99,-17.28,-10.0,438.93
-96.11,-25.75,-10.0,439.01
-93.5,-34.03,-10.0,439.11
-90.18,-42.05,-10.0,439.27
-86.17,-49.75,-10.0,439.35
-81.51,-57.07,-10.0,439.56
-76.22,-63.96,-10.0,439.8
-70.36,-70.36,-10.0,439.97
-63.96,-76.22,-10.0,440.19
-57.07,-81.51,-10.0,440.38
-49.75,-86.17,-10.0,440.5
-42.05,-90.18,-10.0,440.67
-34.03,-93.5,-10.0,440.72
-25.75,-96.11,-10.0,440.83
-17.28,-97.99,-10.0,440.87
-8.67,-99.12,-10.0,440.83
0.0,-99.5,-10.0,440.82
8.67,-99.12,-10.0,440.8
17.28,-97.99,-10.0,440.69
25.75,-96.11,-10.0,440.69
34.03,-93.5,-10.0,440.57
42.05,-90.18,-10.0,440.48
49.75,-86.17,-10.0,440.41
57.07,-81.51,-10.0,440.18
