date,temperature_c,humidity,coordinate_x,coordinate_y,coordinate_z,y_probe
2024-08-19,0.0,0.0,45.83,-79.37,-40.0,437.06
2024-08-19,0.0,0.0,53.87,-74.15,-40.0,436.88
2024-08-19,24.0,44.0,61.33,-68.11,-40.0,436.74
2024-08-19,24.0,44.0,68.11,-61.33,-40.0,436.54
2024-08-19,0.0,0.0,74.15,-53.87,-40.0,436.26
2024-08-19,0.0,0.0,79.37,-45.83,-40.0,436.03
2024-08-19,0.0,0.0,83.73,-37.28,-40.0,435.89
2024-08-19,0.0,0.0,87.16,-28.32,-40.0,435.68
2024-08-19,24.0,43.0,89.65,-19.06,-40.0,435.59
2024-08-19,24.0,44.0,91.15,-9.58,-40.0,435.5
2024-08-19,24.0,44.0,95.39,0.0,-30.0,435.57
2024-08-19,24.0,44.0,94.87,9.97,-30.0,435.65
2024-08-19,24.0,44.0,93.31,19.83,-30.0,435.61
2024-08-19,24.0,44.0,90.72,29.48,-30.0,435.69
2024-08-19,0.0,0.0,87.14,38.8,-30.0,435.84
2024-08-19,0.0,0.0,82.61,47.69,-30.0,435.92
2024-08-19,0.0,0.0,77.17,56.07,-30.0,436.06
2024-08-19,24.0,44.0,70.89,63.83,-30.0,436.23
2024-08-19,0.0,0.0,63.83,70.89,-30.0,436.44
2024-08-19,24.0,44.0,56.07,77.17,-30.0,436.67
2024-08-19,0.0,0.0,47.7,82.61,-30.0,436.77
2024-08-19,0.0,0.0,38.8,87.14,-30.0,436.98
2024-08-19,0.0,0.0,29.48,90.72,-30.0,437.13
2024-08-19,0.0,0.0,19.83,93.31,-30.0,437.18
2024-08-19,24.0,44.0,9.97,94.87,-30.0,437.26
2024-08-19,0.0,0.0,0.0,95.39,-30.0,437.32
2024-08-19,26.0,44.0,-9.97,94.87,-30.0,437.27
2024-08-19,0.0,0.0,-19.83,93.31,-30.0,437.28
2024-08-19,0.0,0.0,-29.48,90.72,-30.0,437.2
2024-08-19,0.0,0.0,-38.8,87.14,-30.0,437.16
2024-08-19,0.0,0.0,-47.69,82.61,-30.0,436.99
2024-08-19,0.0,0.0,-56.07,77.17,-30.0,436.83
2024-08-19,24.0,44.0,-63.83,70.89,-30.0,436.62
2024-08-19,24.0,44.0,-70.89,63.83,-30.0,436.45
2024-08-19,24.0,44.0,-77.17,56.07,-30.0,436.26
2024-08-19,24.0,44.0,-82.61,47.69,-30.0,436.1
2024-08-19,24.0,44.0,-87.14,38.8,-30.0,436.03
2024-08-19,24.0,44.0,-90.72,29.48,-30.0,435.9
2024-08-19,24.0,44.0,-93.31,19.83,-30.0,435.76
2024-08-19,24.0,43.0,-94.87,9.97,-30.0,435.77
2024-08-19,24.0,44.0,-95.39,0.0,-30.0,435.75
2024-08-19,0.0,0.0,-94.87,-9.97,-30.0,435.83
2024-08-19,24.0,44.0,-93.31,-19.83,-30.0,435.86
2024-08-19,24.0,44.0,-90.72,-29.48,-30.0,435.95
2024-08-19,24.0,44.0,-87.14,-38.8,-30.0,436.16
2024-08-19,26.0,44.0,-82.61,-47.7,-30.0,436.32
2024-08-19,24.0,44.0,-77.17,-56.07,-30.0,436.56
2024-08-19,0.0,0.0,-70.89,-63.83,-30.0,436.77
2024-08-19,0.0,0.0,-63.83,-70.89,-30.0,437.01
2024-08-19,24.0,44.0,-56.07,-77.17,-30.0,437.27
2024-08-19,24.0,43.0,-47.7,-82.61,-30.0,437.47
2024-08-19,24.0,44.0,-38.8,-87.14,-30.0,437.63
2024-08-19,24.0,43.0,-29.48,-90.72,-30.0,437.8
2024-08-19,0.0,0.0,-19.83,-93.31,-30.0,437.86
2024-08-19,26.0,44.0,-9.97,-94.87,-30.0,437.87
2024-08-19,0.0,0.0,0.0,-95.39,-30.0,437.89
2024-08-19,0.0,0.0,9.97,-94.87,-30.0,437.85
2024-08-19,0.0,0.0,19.83,-93.31,-30.0,437.81
2024-08-19,24.0,44.0,29.48,-90.72,-30.0,437.72
2024-08-19,24.0,44.0,38.8,-87.14,-30.0,437.56
2024-08-19,0.0,0.0,47.7,-82.61,-30.0,437.39
2024-08-19,24.0,44.0,56.07,-77.17,-30.0,437.14
2024-08-19,24.0,44.0,63.83,-70.89,-30.0,436.92
2024-08-19,0.0,0.0,70.89,-63.83,-30.0,436.78
2024-08-19,0.0,0.0,77.17,-56.07,-30.0,436.45
2024-08-19,0.0,0.0,82.61,-47.7,-30.0,436.25
2024-08-19,0.0,0.0,87.14,-38.8,-30.0,436.09
2024-08-19,0.0,0.0,90.72,-29.48,-30.0,435.94
2024-08-19,0.0,0.0,93.31,-19.83,-30.0,435.79
2024-08-19,0.0,0.0,94.87,-9.97,-30.0,435.63
2024-08-19,24.0,44.0,97.98,0.0,-20.0,435.75
2024-08-19,0.0,0.0,97.61,8.54,-20.0,435.69
2024-08-19,24.0,44.0,96.49,17.01,-20.0,435.75
2024-08-19,0.0,0.0,94.64,25.36,-20.0,435.78
2024-08-19,24.0,44.0,92.07,33.51,-20.0,435.9
2024-08-19,24.0,43.0,88.8,41.41,-20.0,436.0
2024-08-19,24.0,44.0,84.85,48.99,-20.0,436.11
2024-08-19,24.0,44.0,80.26,56.2,-20.0,436.19
2024-08-19,24.0,43.0,75.06,62.98,-20.0,436.39
2024-08-19,24.0,43.0,69.28,69.28,-20.0,436.51
2024-08-19,0.0,0.0,62.98,75.06,-20.0,436.72
2024-08-19,24.0,44.0,56.2,80.26,-20.0,436.99
2024-08-19,24.0,43.0,48.99,84.85,-20.0,437.12
2024-08-19,0.0,0.0,41.41,88.8,-20.0,437.29
2024-08-19,0.0,0.0,33.51,92.07,-20.0,437.37
2024-08-19,24.0,43.0,25.36,94.64,-20.0,437.48
2024-08-19,25.0,43.0,17.01,96.49,-20.0,437.47
2024-08-19,0.0,0.0,8.54,97.61,-20.0,437.59
2024-08-19,24.0,44.0,0.0,97.98,-20.0,437.62
2024-08-19,24.0,44.0,-8.54,97.61,-20.0,437.63
2024-08-19,0.0,0.0,-17.01,96.49,-20.0,437.59
2024-08-19,0.0,0.0,-25.36,94.64,-20.0,437.57
2024-08-19,24.0,44.0,-33.51,92.07,-20.0,437.5
2024-08-19,24.0,44.0,-41.41,88.8,-20.0,437.31
2024-08-19,24.0,44.0,-48.99,84.85,-20.0,437.26
2024-08-19,24.0,44.0,-56.2,80.26,-20.0,437.12
2024-08-19,24.0,44.0,-62.98,75.06,-20.0,436.96
2024-08-19,24.0,44.0,-69.28,69.28,-20.0,436.83
2024-08-19,24.0,44.0,-75.06,62.98,-20.0,436.66
2024-08-19,0.0,0.0,-80.26,56.2,-20.0,436.45
2024-08-19,0.0,0.0,-84.85,48.99,-20.0,436.38
2024-08-19,24.0,44.0,-88.8,41.41,-20.0,436.26
2024-08-19,24.0,44.0,-92.07,33.51,-20.0,436.11
2024-08-19,24.0,44.0,-94.64,25.36,-20.0,435.97
2024-08-19,24.0,44.0,-96.49,17.01,-20.0,435.93
2024-08-19,24.0,44.0,-97.61,8.54,-20.0,435.96
2024-08-19,25.0,43.0,-97.98,0.0,-20.0,435.94
2024-08-19,0.0,0.0,-97.61,-8.54,-20.0,435.93
2024-08-19,24.0,44.0,-96.49,-17.01,-20.0,435.95
2024-08-19,24.0,44.0,-94.64,-25.36,-20.0,436.08
2024-08-19,25.0,43.0,-92.07,-33.51,-20.0,436.2
2024-08-19,24.0,44.0,-88.8,-41.41,-20.0,436.34
2024-08-19,25.0,43.0,-84.85,-48.99,-20.0,436.53
2024-08-19,25.0,43.0,-80.26,-56.2,-20.0,436.8
2024-08-19,25.0,43.0,-75.06,-62.98,-20.0,436.9
2024-08-19,24.0,44.0,-69.28,-69.28,-20.0,437.08
2024-08-19,24.0,44.0,-62.98,-75.06,-20.0,437.31
2024-08-19,0.0,0.0,-56.2,-80.26,-20.0,437.5
2024-08-19,0.0,0.0,-48.99,-84.85,-20.0,437.71
2024-08-19,25.0,43.0,-41.41,-88.8,-20.0,437.77
2024-08-19,25.0,42.0,-33.51,-92.07,-20.0,437.79
2024-08-19,24.0,44.0,-25.36,-94.64,-20.0,437.92
2024-08-19,25.0,43.0,-17.01,-96.49,-20.0,437.96
2024-08-19,24.0,44.0,-8.54,-97.61,-20.0,437.92
2024-08-19,0.0,0.0,0.0,-97.98,-20.0,438.02
2024-08-19,0.0,0.0,8.54,-97.61,-20.0,437.96
2024-08-19,0.0,0.0,17.01,-96.49,-20.0,437.97
2024-08-19,0.0,0.0,25.36,-94.64,-20.0,437.83
2024-08-19,24.0,44.0,33.51,-92.07,-20.0,437.7
2024-08-19,24.0,44.0,41.41,-88.8,-20.0,437.59
2024-08-19,24.0,44.0,48.99,-84.85,-20.0,437.49
2024-08-19,25.0,43.0,56.2,-80.26,-20.0,437.27
2024-08-19,0.0,0.0,62.98,-75.06,-20.0,437.17
2024-08-19,24.0,44.0,69.28,-69.28,-20.0,436.99
2024-08-19,25.0,43.0,75.06,-62.98,-20.0,436.73
2024-08-19,24.0,44.0,80.26,-56.2,-20.0,436.58
2024-08-19,25.0,43.0,84.85,-48.99,-20.0,436.44
2024-08-19,25.0,43.0,88.8,-41.41,-20.0,436.28
2024-08-19,25.0,43.0,92.07,-33.51,-20.0,436.14
2024-08-19,25.0,43.0,94.64,-25.36,-20.0,435.95
2024-08-19,25.0,43.0,96.49,-17.01,-20.0,435.89
2024-08-19,0.0,0.0,97.61,-8.54,-20.0,435.84
2024-08-19,0.0,0.0,99.5,0.0,-10.0,435.8
