coordinate_x,coordinate_y,coordinate_z,y_probe
-50.0,86.6,0.0,440.32
-57.36,81.92,0.0,440.17
-64.28,76.6,0.0,439.96
-70.71,70.71,0.0,439.79
-76.6,64.28,0.0,439.61
-81.92,57.36,0.0,439.44
-86.6,50.0,0.0,439.3
-90.63,42.26,0.0,439.11
-93.97,34.2,0.0,439.06
-96.59,25.88,0.0,438.86
-98.48,17.36,0.0,438.78
-99.62,8.72,0.0,438.82
-100.0,0.0,0.0,438.71
-99.62,-8.72,0.0,438.81
-98.48,-17.36,0.0,438.83
-96.59,-25.88,0.0,438.9
-93.97,-34.2,0.0,439.07
-90.63,-42.26,0.0,439.18
-86.6,-50.0,0.0,439.39
-81.92,-57.36,0.0,439.54
-76.6,-64.28,0.0,439.7
-70.71,-70.71,0.0,439.92
-64.28,-76.6,0.0,440.12
-57.36,-81.92,0.0,440.3
-50.0,-86.6,0.0,440.46
-42.26,-90.63,0.0,440.73
-34.2,-93.97,0.0,440.74
-25.88,-96.59,0.0,440.87
-17.36,-98.48,0.0,440.95
-8.72,-99.62,0.0,440.89
0.0,-100.0,0.0,440.95
8.72,-99.62,0.0,440.93
17.36,-98.48,0.0,440.91
25.88,-96.59,0.0,440.94
34.2,-93.97,0.0,440.77
42.26,-90.63,0.0,440.76
50.0,-86.6,0.0,440.57
57.36,-81.92,0.0,440.31
64.28,-76.6,0.0,440.18
70.71,-70.71,0.0,439.92
76.6,-64.28,0.0,439.75
81.92,-57.36,0.0,439.53
86.6,-50.0,0.0,439.38
90.63,-42.26,0.0,439.18
93.97,-34.2,0.0,439.06
96.59,-25.88,0.0,438.89
98.48,-17.36,0.0,438.74
99.62,-8.72,0.0,438.63
99.5,0.0,10.0,438.44
99.12,8.67,10.0,438.47
97.99,17.28,10.0,438.53
96.11,25.75,10.0,438.54
93.5,34.03,10.0,438.65
90.18,42.05,10.0,438.76
86.17,49.75,10.0,438.95
81.51,57.07,10.0,439.1
76.22,63.96,10.0,439.32
70.36,70.36,10.0,439.49
63.96,76.22,10.0,439.63
57.07,81.51,10.0,439.86
49.75,86.17,10.0,439.98
42.05,90.18,10.0,440.12
34.03,93.5,10.0,440.23
25.75,96.11,10.0,440.41
17.28,97.99,10.0,440.42
8.67,99.12,10.0,440.49
0.0,99.5,10.0,440.51
-8.67,99.12,10.0,440.56
-17.28,97.99,10.0,440.49
-25.75,96.11,10.0,440.4
-34.03,93.5,10.0,440.45
-42.05,90.18,10.0,440.29
-49.75,86.17,10.0,440.19
-57.07,81.51,10.0,439.99
-63.96,76.22,10.0,439.81
-70.36,70.36,10.0,439.62
-76.22,63.96,10.0,439.45
-81.51,57.07,10.0,439.34
-86.17,49.75,10.0,439.05
-90.18,42.05,10.0,439.04
-93.5,34.03,10.0,438.88
-96.11,25.75,10.0,438.77
-97.99,17.28,10.0,438.68
-99.12,8.67,10.0,438.6
-99.5,0.0,10.0,438.6
-99.12,-8.67,10.0,438.58
-97.99,-17.28,10.0,438.71
-96.11,-25.75,10.0,438.79
-93.5,-34.03,10.0,438.92
-90.18,-42.05,10.0,439.02
-86.17,-49.75,10.0,439.22
-81.51,-57.07,10.0,439.42
-76.22,-63.96,10.0,439.63
-70.36,-70.36,10.0,439.76
-63.96,-76.22,10.0,439.99
-57.07,-81.51,10.0,440.16
-49.75,-86.17,10.0,440.36
-42.05,-90.18,10.0,440.51
-34.03,-93.5,10.0,440.59
-25.75,-96.11,10.0,440.67
-17.28,-97.99,10.0,440.76
-8.67,-99.12,10.0,440.7
0.0,-99.5,10.0,440.76
8.67,-99.12,10.0,440.81
17.28,-97.99,10.0,440.78
25.75,-96.11,10.0,440.77
34.03,-93.5,10.0,440.69
42.05,-90.18,10.0,440.52
49.75,-86.17,10.0,440.34
57.07,-81.51,10.0,440.21
63.96,-76.22,10.0,439.91
70.36,-70.36,10.0,439.72
76.22,-63.96,10.0,439.58
81.51,-57.07,10.0,439.27
86.17,-49.75,10.0,439.13
90.18,-42.05,10.0,438.93
93.5,-34.03,10.0,438.77
96.11,-25.75,10.0,438.61
97.99,-17.28,10.0,438.6
99.12,-8.67,10.0,438.46
97.98,0.0,20.0,438.18
97.61,8.54,20.0,438.3
96.49,17.01,20.0,438.32
94.64,25.36,20.0,438.42
92.07,33.51,20.0,438.41
88.8,41.41,20.0,438.57
84.85,48.99,20.0,438.74
80.26,56.2,20.0,438.88
75.06,62.98,20.0,439.04
69.28,69.28,20.0,439.28
62.98,75.06,20.0,439.43
56.2,80.26,20.0,439.62
48.99,84.85,20.0,439.79
41.41,88.8,20.0,439.89
33.51,92.07,20.0,440.07
25.36,94.64,20.0,440.14
17.01,96.49,20.0,440.23
8.54,97.61,20.0,440.23
0.0,97.98,20.0,440.26
-8.54,97.61,20.0,440.24
-17.01,96.49,20.0,440.22
-25.36,94.64,20.0,440.15
-33.51,92.07,20.0,440.1
-41.41,88.8,20.0,439.98
-48.99,84.85,20.0,439.84
-56.2,80.26,20.0,439.72
-62.98,75.06,20.0,439.56
-69.28,69.28,20.0,439.39
-75.06,62.98,20.0,439.21
-80.26,56.2,20.0,439.04
-84.85,48.99,20.0,438.92
-88.8,41.41,20.0,438.8
-92.07,33.51,20.0,438.62
-94.64,25.36,20.0,438.48
-96.49,17.01,20.0,438.46
-97.61,8.54,20.0,438.38
-97.98,0.0,20.0,438.27
-97.61,-8.54,20.0,438.3
-96.49,-17.01,20.0,438.4
-94.64,-25.36,20.0,438.56
-92.07,-33.51,20.0,438.62
-88.8,-41.41,20.0,438.67
-84.85,-48.99,20.0,438.89
-80.26,-56.2,20.0,439.05
-75.06,-62.98,20.0,439.23
-69.28,-69.28,20.0,439.43
-62.98,-75.06,20.0,439.65
-56.2,-80.26,20.0,439.77
-48.99,-84.85,20.0,439.93
-41.41,-88.8,20.0,440.0
-33.51,-92.07,20.0,440.09
-25.36,-94.64,20.0,440.28
-17.01,-96.49,20.0,440.38
-8.54,-97.61,20.0,440.33
0.0,-97.98,20.0,440.37
8.54,-97.61,20.0,440.43
17.01,-96.49,20.0,440.41
25.36,-94.64,20.0,440.3
33.51,-92.07,20.0,440.24
41.41,-88.8,20.0,440.19
48.99,-84.85,20.0,439.98
56.2,-80.26,20.0,439.85
62.98,-75.06,20.0,439.65
69.28,-69.28,20.0,439.49
75.06,-62.98,20.0,439.29
80.26,-56.2,20.0,439.1
84.85,-48.99,20.0,438.87
88.8,-41.41,20.0,438.72
92.07,-33.51,20.0,438.61
94.64,-25.36,20.0,438.49
96.49,-17.01,20.0,438.38
97.61,-8.54,20.0,438.3
95.39,0.0,30.0,437.97
94.87,9.97,30.0,437.96
93.31,19.83,30.0,438.01
90.72,29.48,30.0,438.11
87.14,38.8,30.0,438.22
82.61,47.69,30.0,438.43
77.17,56.07,30.0,438.64
70.89,63.83,30.0,438.89
63.83,70.89,30.0,439.13
56.07,77.17,30.0,439.29
47.7,82.61,30.0,439.5
38.8,87.14,30.0,439.66
29.48,90.72,30.0,439.7
